pixel_0_0,pixel_0_1,pixel_0_2,pixel_0_3,pixel_0_4,pixel_0_5,pixel_0_6,pixel_0_7,pixel_1_0,pixel_1_1,pixel_1_2,pixel_1_3,pixel_1_4,pixel_1_5,pixel_1_6,pixel_1_7,pixel_2_0,pixel_2_1,pixel_2_2,pixel_2_3,pixel_2_4,pixel_2_5,pixel_2_6,pixel_2_7,pixel_3_0,pixel_3_1,pixel_3_2,pixel_3_3,pixel_3_4,pixel_3_5,pixel_3_6,pixel_3_7,pixel_4_0,pixel_4_1,pixel_4_2,pixel_4_3,pixel_4_4,pixel_4_5,pixel_4_6,pixel_4_7,pixel_5_0,pixel_5_1,pixel_5_2,pixel_5_3,pixel_5_4,pixel_5_5,pixel_5_6,pixel_5_7,pixel_6_0,pixel_6_1,pixel_6_2,pixel_6_3,pixel_6_4,pixel_6_5,pixel_6_6,pixel_6_7,pixel_7_0,pixel_7_1,pixel_7_2,pixel_7_3,pixel_7_4,pixel_7_5,pixel_7_6,pixel_7_7,target
13,6,0,1,8,15,14,8,1,0,6,13,15,10,2,0,4,12,15,12,4,0,2,10,15,14,7,0,1,7,14,15,9,2,0,5,13,15,11,3,0,3,11,15,13,5,0,1,8,15,14,8,1,0,6,13,15,10,2,0,4,12,15,12,6
6,13,15,10,2,0,4,12,15,12,4,0,2,10,15,14,7,0,1,7,14,15,9,2,0,5,13,15,11,3,0,3,11,15,13,5,0,1,8,15,14,8,1,0,6,13,15,10,2,0,4,12,15,12,4,0,2,10,15,14,6,0,1,7,7
4,0,2,10,15,14,7,0,1,7,14,15,9,2,0,5,13,15,11,3,0,3,11,15,13,5,0,1,8,15,14,8,1,0,6,13,15,10,2,0,4,12,15,12,4,0,2,10,15,14,6,0,1,7,14,15,9,1,0,5,13,15,11,3,8
14,15,9,2,0,5,13,15,11,3,0,3,11,15,13,5,0,1,8,15,14,8,1,0,6,13,15,10,2,0,4,12,15,12,4,0,2,10,15,14,6,0,1,7,14,15,9,1,0,5,13,15,11,3,0,3,11,15,13,5,0,1,9,15,9
0,3,11,15,13,5,0,1,8,15,14,8,1,0,6,13,15,10,2,0,4,12,15,12,4,0,2,10,15,14,6,0,1,7,14,15,9,1,0,5,13,15,11,3,0,3,11,15,13,5,0,1,9,15,14,7,1,0,6,14,15,10,2,0,0
14,8,1,0,6,13,15,10,2,0,4,12,15,12,4,0,2,10,15,14,6,0,1,7,14,15,9,1,0,5,13,15,11,3,0,3,11,15,13,5,0,1,9,15,14,7,1,0,6,14,15,10,2,0,4,12,15,12,4,0,2,10,15,14,1
4,12,15,12,4,0,2,10,15,14,6,0,1,7,14,15,9,1,0,5,13,15,11,3,0,3,11,15,13,5,0,1,9,15,14,7,1,0,6,14,15,10,2,0,4,12,15,12,4,0,2,10,15,14,6,0,1,8,14,15,9,1,0,5,2
6,0,1,7,14,15,9,1,0,5,13,15,11,3,0,3,11,15,13,5,0,1,9,15,14,7,1,0,6,14,15,10,2,0,4,12,15,12,4,0,2,10,15,14,6,0,1,8,14,15,9,1,0,5,13,15,11,3,0,3,11,15,13,5,3
13,15,11,3,0,3,11,15,13,5,0,1,9,15,14,7,1,0,6,14,15,10,2,0,4,12,15,12,4,0,2,10,15,14,6,0,1,8,14,15,9,1,0,5,13,15,11,3,0,3,11,15,13,5,0,2,9,15,14,7,1,0,7,14,4
0,1,9,15,14,7,1,0,6,14,15,10,2,0,4,12,15,12,4,0,2,10,15,14,6,0,1,8,14,15,9,1,0,5,13,15,11,3,0,3,11,15,13,5,0,2,9,15,14,7,1,0,7,14,15,10,2,0,4,12,15,12,4,0,5
15,10,2,0,4,12,15,12,4,0,2,10,15,14,6,0,1,8,14,15,9,1,0,5,13,15,11,3,0,3,11,15,13,5,0,2,9,15,14,7,1,0,7,14,15,10,2,0,4,12,15,12,4,0,2,10,15,13,6,0,1,8,14,15,6
2,10,15,14,6,0,1,8,14,15,9,1,0,5,13,15,11,3,0,3,11,15,13,5,0,2,9,15,14,7,1,0,7,14,15,10,2,0,4,12,15,12,4,0,2,10,15,13,6,0,1,8,14,15,8,1,0,5,13,15,11,3,0,3,7
9,1,0,5,13,15,11,3,0,3,11,15,13,5,0,2,9,15,14,7,1,0,7,14,15,10,2,0,4,12,15,12,4,0,2,10,15,13,6,0,1,8,14,15,8,1,0,5,13,15,11,3,0,3,11,15,13,5,0,2,9,15,14,7,8
11,15,13,5,0,2,9,15,14,7,1,0,7,14,15,10,2,0,4,12,15,12,4,0,2,10,15,13,6,0,1,8,14,15,8,1,0,5,13,15,11,3,0,3,11,15,13,5,0,2,9,15,14,7,1,0,7,14,15,9,2,0,4,12,9
1,0,7,14,15,10,2,0,4,12,15,12,4,0,2,10,15,13,6,0,1,8,14,15,8,1,0,5,13,15,11,3,0,3,11,15,13,5,0,2,9,15,14,7,1,0,7,14,15,9,2,0,4,12,15,12,4,0,3,10,15,13,6,0,0
15,12,4,0,2,10,15,13,6,0,1,8,14,15,8,1,0,5,13,15,11,3,0,3,11,15,13,5,0,2,9,15,14,7,1,0,7,14,15,9,2,0,4,12,15,12,4,0,3,10,15,13,6,0,1,8,14,15,8,1,0,6,13,15,1
1,8,14,15,8,1,0,5,13,15,11,3,0,3,11,15,13,5,0,2,9,15,14,7,1,0,7,14,15,9,2,0,4,12,15,12,4,0,3,10,15,13,6,0,1,8,14,15,8,1,0,6,13,15,10,3,0,4,11,15,12,5,0,2,2
11,3,0,3,11,15,13,5,0,2,9,15,14,7,1,0,7,14,15,9,2,0,4,12,15,12,4,0,3,10,15,13,6,0,1,8,14,15,8,1,0,6,13,15,10,3,0,4,11,15,12,5,0,2,9,15,14,7,1,0,7,14,15,9,3
9,15,14,7,1,0,7,14,15,9,2,0,4,12,15,12,4,0,3,10,15,13,6,0,1,8,14,15,8,1,0,6,13,15,10,3,0,4,11,15,12,5,0,2,9,15,14,7,1,0,7,14,15,9,2,0,5,12,15,11,4,0,3,10,4
2,0,4,12,15,12,4,0,3,10,15,13,6,0,1,8,14,15,8,1,0,6,13,15,10,3,0,4,11,15,12,5,0,2,9,15,14,7,1,0,7,14,15,9,2,0,5,12,15,11,4,0,3,10,15,13,6,0,1,8,14,15,8,1,5
15,13,6,0,1,8,14,15,8,1,0,6,13,15,10,3,0,4,11,15,12,5,0,2,9,15,14,7,1,0,7,14,15,9,2,0,5,12,15,11,4,0,3,10,15,13,6,0,1,8,14,15,8,1,0,6,13,15,10,3,0,4,11,15,6
0,6,13,15,10,3,0,4,11,15,12,5,0,2,9,15,14,7,1,0,7,14,15,9,2,0,5,12,15,11,4,0,3,10,15,13,6,0,1,8,14,15,8,1,0,6,13,15,10,3,0,4,11,15,12,5,0,2,9,15,14,7,0,0,7
12,5,0,2,9,15,14,7,1,0,7,14,15,9,2,0,5,12,15,11,4,0,3,10,15,13,6,0,1,8,14,15,8,1,0,6,13,15,10,3,0,4,11,15,12,5,0,2,9,15,14,7,0,0,7,14,15,9,2,0,5,12,15,11,8
7,14,15,9,2,0,5,12,15,11,4,0,3,10,15,13,6,0,1,8,14,15,8,1,0,6,13,15,10,3,0,4,11,15,12,5,0,2,9,15,14,7,0,0,7,14,15,9,2,0,5,12,15,11,4,0,3,10,15,13,6,0,1,8,9
4,0,3,10,15,13,6,0,1,8,14,15,8,1,0,6,13,15,10,3,0,4,11,15,12,5,0,2,9,15,14,7,0,0,7,14,15,9,2,0,5,12,15,11,4,0,3,10,15,13,6,0,1,8,15,14,8,1,0,6,13,15,10,3,0
14,15,8,1,0,6,13,15,10,3,0,4,11,15,12,5,0,2,9,15,14,7,0,0,7,14,15,9,2,0,5,12,15,11,4,0,3,10,15,13,6,0,1,8,15,14,8,1,0,6,13,15,10,3,0,4,11,15,12,5,0,2,9,15,1
0,4,11,15,12,5,0,2,9,15,14,7,0,0,7,14,15,9,2,0,5,12,15,11,4,0,3,10,15,13,6,0,1,8,15,14,8,1,0,6,13,15,10,3,0,4,11,15,12,5,0,2,9,15,14,7,0,1,7,14,15,9,2,0,2
14,7,0,0,7,14,15,9,2,0,5,12,15,11,4,0,3,10,15,13,6,0,1,8,15,14,8,1,0,6,13,15,10,3,0,4,11,15,12,5,0,2,9,15,14,7,0,1,7,14,15,9,2,0,5,12,15,11,4,0,3,10,15,13,3
5,12,15,11,4,0,3,10,15,13,6,0,1,8,15,14,8,1,0,6,13,15,10,3,0,4,11,15,12,5,0,2,9,15,14,7,0,1,7,14,15,9,2,0,5,12,15,11,4,0,3,10,15,13,6,0,1,8,15,14,8,1,0,6,4
6,0,1,8,15,14,8,1,0,6,13,15,10,3,0,4,11,15,12,5,0,2,9,15,14,7,0,1,7,14,15,9,2,0,5,12,15,11,4,0,3,10,15,13,6,0,1,8,15,14,8,1,0,6,13,15,10,3,0,4,12,15,12,4,5
13,15,10,3,0,4,11,15,12,5,0,2,9,15,14,7,0,1,7,14,15,9,2,0,5,12,15,11,4,0,3,10,15,13,6,0,1,8,15,14,8,1,0,6,13,15,10,3,0,4,12,15,12,4,0,2,9,15,14,7,0,1,7,14,6
0,2,9,15,14,7,0,1,7,14,15,9,2,0,5,12,15,11,4,0,3,10,15,13,6,0,1,8,15,14,8,1,0,6,13,15,10,3,0,4,12,15,12,4,0,2,9,15,14,7,0,1,7,14,15,9,2,0,5,13,15,11,3,0,7
15,9,2,0,5,12,15,11,4,0,3,10,15,13,6,0,1,8,15,14,8,1,0,6,13,15,10,3,0,4,12,15,12,4,0,2,9,15,14,7,0,1,7,14,15,9,2,0,5,13,15,11,3,0,3,11,15,13,5,0,1,8,15,14,8
3,10,15,13,6,0,1,8,15,14,8,1,0,6,13,15,10,3,0,4,12,15,12,4,0,2,9,15,14,7,0,1,7,14,15,9,2,0,5,13,15,11,3,0,3,11,15,13,5,0,1,8,15,14,8,1,0,6,13,15,10,2,0,4,9
8,1,0,6,13,15,10,3,0,4,12,15,12,4,0,2,9,15,14,7,0,1,7,14,15,9,2,0,5,13,15,11,3,0,3,11,15,13,5,0,1,8,15,14,8,1,0,6,13,15,10,2,0,4,12,15,12,4,0,2,10,15,14,7,0
12,15,12,4,0,2,9,15,14,7,0,1,7,14,15,9,2,0,5,13,15,11,3,0,3,11,15,13,5,0,1,8,15,14,8,1,0,6,13,15,10,2,0,4,12,15,12,4,0,2,10,15,14,7,0,1,7,14,15,9,2,0,5,13,1
0,1,7,14,15,9,2,0,5,13,15,11,3,0,3,11,15,13,5,0,1,8,15,14,8,1,0,6,13,15,10,2,0,4,12,15,12,4,0,2,10,15,14,7,0,1,7,14,15,9,2,0,5,13,15,11,3,0,3,11,15,13,5,0,2
15,11,3,0,3,11,15,13,5,0,1,8,15,14,8,1,0,6,13,15,10,2,0,4,12,15,12,4,0,2,10,15,14,7,0,1,7,14,15,9,2,0,5,13,15,11,3,0,3,11,15,13,5,0,1,9,15,14,8,1,0,6,14,15,3
1,8,15,14,8,1,0,6,13,15,10,2,0,4,12,15,12,4,0,2,10,15,14,7,0,1,7,14,15,9,2,0,5,13,15,11,3,0,3,11,15,13,5,0,1,9,15,14,8,1,0,6,14,15,10,2,0,4,12,15,12,4,0,2,4
10,2,0,4,12,15,12,4,0,2,10,15,14,7,0,1,7,14,15,9,2,0,5,13,15,11,3,0,3,11,15,13,5,0,1,9,15,14,8,1,0,6,14,15,10,2,0,4,12,15,12,4,0,2,10,15,14,6,0,1,8,14,15,9,5
10,15,14,7,0,1,7,14,15,9,2,0,5,13,15,11,3,0,3,11,15,13,5,0,1,9,15,14,8,1,0,6,14,15,10,2,0,4,12,15,12,4,0,2,10,15,14,6,0,1,8,14,15,9,1,0,5,13,15,11,3,0,3,11,6
2,0,5,13,15,11,3,0,3,11,15,13,5,0,1,9,15,14,8,1,0,6,14,15,10,2,0,4,12,15,12,4,0,2,10,15,14,6,0,1,8,14,15,9,1,0,5,13,15,11,3,0,3,11,15,13,5,0,1,9,15,14,7,1,7
15,13,5,0,1,9,15,14,8,1,0,6,14,15,10,2,0,4,12,15,12,4,0,2,10,15,14,6,0,1,8,14,15,9,1,0,5,13,15,11,3,0,3,11,15,13,5,0,1,9,15,14,7,1,0,6,14,15,10,2,0,4,12,15,8
0,6,14,15,10,2,0,4,12,15,12,4,0,2,10,15,14,6,0,1,8,14,15,9,1,0,5,13,15,11,3,0,3,11,15,13,5,0,1,9,15,14,7,1,0,6,14,15,10,2,0,4,12,15,12,4,0,2,10,15,13,6,0,1,9
12,4,0,2,10,15,14,6,0,1,8,14,15,9,1,0,5,13,15,11,3,0,3,11,15,13,5,0,1,9,15,14,7,1,0,6,14,15,10,2,0,4,12,15,12,4,0,2,10,15,13,6,0,1,8,14,15,8,1,0,5,13,15,11,0
8,14,15,9,1,0,5,13,15,11,3,0,3,11,15,13,5,0,1,9,15,14,7,1,0,6,14,15,10,2,0,4,12,15,12,4,0,2,10,15,13,6,0,1,8,14,15,8,1,0,5,13,15,11,3,0,3,11,15,13,5,0,2,9,1
3,0,3,11,15,13,5,0,1,9,15,14,7,1,0,6,14,15,10,2,0,4,12,15,12,4,0,2,10,15,13,6,0,1,8,14,15,8,1,0,5,13,15,11,3,0,3,11,15,13,5,0,2,9,15,14,7,1,0,7,14,15,10,2,2
15,14,7,1,0,6,14,15,10,2,0,4,12,15,12,4,0,2,10,15,13,6,0,1,8,14,15,8,1,0,5,13,15,11,3,0,3,11,15,13,5,0,2,9,15,14,7,1,0,7,14,15,10,2,0,4,12,15,12,4,0,2,10,15,3
0,4,12,15,12,4,0,2,10,15,13,6,0,1,8,14,15,8,1,0,5,13,15,11,3,0,3,11,15,13,5,0,2,9,15,14,7,1,0,7,14,15,10,2,0,4,12,15,12,4,0,2,10,15,13,6,0,1,8,14,15,8,1,0,4
13,6,0,1,8,14,15,8,1,0,5,13,15,11,3,0,3,11,15,13,5,0,2,9,15,14,7,1,0,7,14,15,10,2,0,4,12,15,12,4,0,2,10,15,13,6,0,1,8,14,15,8,1,0,6,13,15,11,3,0,3,11,15,12,5
5,13,15,11,3,0,3,11,15,13,5,0,2,9,15,14,7,1,0,7,14,15,10,2,0,4,12,15,12,4,0,2,10,15,13,6,0,1,8,14,15,8,1,0,6,13,15,11,3,0,3,11,15,12,5,0,2,9,15,14,7,1,0,7,6
5,0,2,9,15,14,7,1,0,7,14,15,10,2,0,4,12,15,12,4,0,2,10,15,13,6,0,1,8,14,15,8,1,0,6,13,15,11,3,0,3,11,15,12,5,0,2,9,15,14,7,1,0,7,14,15,9,2,0,5,12,15,11,4,7
14,15,10,2,0,4,12,15,12,4,0,2,10,15,13,6,0,1,8,14,15,8,1,0,6,13,15,11,3,0,3,11,15,12,5,0,2,9,15,14,7,1,0,7,14,15,9,2,0,5,12,15,11,4,0,3,10,15,13,6,0,1,8,14,8
0,2,10,15,13,6,0,1,8,14,15,8,1,0,6,13,15,11,3,0,3,11,15,12,5,0,2,9,15,14,7,1,0,7,14,15,9,2,0,5,12,15,11,4,0,3,10,15,13,6,0,1,8,14,15,8,1,0,6,13,15,10,3,0,9
15,8,1,0,6,13,15,11,3,0,3,11,15,12,5,0,2,9,15,14,7,1,0,7,14,15,9,2,0,5,12,15,11,4,0,3,10,15,13,6,0,1,8,14,15,8,1,0,6,13,15,10,3,0,4,11,15,12,5,0,2,9,15,14,0
3,11,15,12,5,0,2,9,15,14,7,1,0,7,14,15,9,2,0,5,12,15,11,4,0,3,10,15,13,6,0,1,8,14,15,8,1,0,6,13,15,10,3,0,4,11,15,12,5,0,2,9,15,14,7,1,0,7,14,15,9,2,0,5,1
7,1,0,7,14,15,9,2,0,5,12,15,11,4,0,3,10,15,13,6,0,1,8,14,15,8,1,0,6,13,15,10,3,0,4,11,15,12,5,0,2,9,15,14,7,1,0,7,14,15,9,2,0,5,12,15,11,4,0,3,10,15,13,6,2
12,15,11,4,0,3,10,15,13,6,0,1,8,14,15,8,1,0,6,13,15,10,3,0,4,11,15,12,5,0,2,9,15,14,7,1,0,7,14,15,9,2,0,5,12,15,11,4,0,3,10,15,13,6,0,1,8,15,15,8,1,0,6,13,3
0,1,8,14,15,8,1,0,6,13,15,10,3,0,4,11,15,12,5,0,2,9,15,14,7,1,0,7,14,15,9,2,0,5,12,15,11,4,0,3,10,15,13,6,0,1,8,15,15,8,1,0,6,13,15,10,3,0,4,11,15,12,5,0,4
15,10,3,0,4,11,15,12,5,0,2,9,15,14,7,1,0,7,14,15,9,2,0,5,12,15,11,4,0,3,10,15,13,6,0,1,8,15,15,8,1,0,6,13,15,10,3,0,4,11,15,12,5,0,2,9,15,14,7,0,1,7,14,15,5
2,9,15,14,7,1,0,7,14,15,9,2,0,5,12,15,11,4,0,3,10,15,13,6,0,1,8,15,15,8,1,0,6,13,15,10,3,0,4,11,15,12,5,0,2,9,15,14,7,0,1,7,14,15,9,2,0,5,12,15,11,4,0,3,6
9,2,0,5,12,15,11,4,0,3,10,15,13,6,0,1,8,15,15,8,1,0,6,13,15,10,3,0,4,11,15,12,5,0,2,9,15,14,7,0,1,7,14,15,9,2,0,5,12,15,11,4,0,3,10,15,13,6,0,1,8,15,14,8,7
10,15,13,6,0,1,8,15,15,8,1,0,6,13,15,10,3,0,4,11,15,12,5,0,2,9,15,14,7,0,1,7,14,15,9,2,0,5,12,15,11,4,0,3,10,15,13,6,0,1,8,15,14,8,1,0,6,13,15,10,3,0,4,11,8
1,0,6,13,15,10,3,0,4,11,15,12,5,0,2,9,15,14,7,0,1,7,14,15,9,2,0,5,12,15,11,4,0,3,10,15,13,6,0,1,8,15,14,8,1,0,6,13,15,10,3,0,4,11,15,12,5,0,2,9,15,14,7,0,9
15,12,5,0,2,9,15,14,7,0,1,7,14,15,9,2,0,5,12,15,11,4,0,3,10,15,13,6,0,1,8,15,14,8,1,0,6,13,15,10,3,0,4,11,15,12,5,0,2,9,15,14,7,0,1,7,14,15,9,2,0,5,12,15,0
1,7,14,15,9,2,0,5,12,15,11,4,0,3,10,15,13,6,0,1,8,15,14,8,1,0,6,13,15,10,3,0,4,11,15,12,5,0,2,9,15,14,7,0,1,7,14,15,9,2,0,5,12,15,11,3,0,3,11,15,13,6,0,1,1
11,4,0,3,10,15,13,6,0,1,8,15,14,8,1,0,6,13,15,10,3,0,4,11,15,12,5,0,2,9,15,14,7,0,1,7,14,15,9,2,0,5,12,15,11,3,0,3,11,15,13,6,0,1,8,15,14,8,1,0,6,13,15,10,2
8,15,14,8,1,0,6,13,15,10,3,0,4,11,15,12,5,0,2,9,15,14,7,0,1,7,14,15,9,2,0,5,12,15,11,3,0,3,11,15,13,6,0,1,8,15,14,8,1,0,6,13,15,10,2,0,4,12,15,12,4,0,2,10,3
3,0,4,11,15,12,5,0,2,9,15,14,7,0,1,7,14,15,9,2,0,5,12,15,11,3,0,3,11,15,13,6,0,1,8,15,14,8,1,0,6,13,15,10,2,0,4,12,15,12,4,0,2,10,15,14,7,0,1,7,14,15,9,2,4
15,14,7,0,1,7,14,15,9,2,0,5,12,15,11,3,0,3,11,15,13,6,0,1,8,15,14,8,1,0,6,13,15,10,2,0,4,12,15,12,4,0,2,10,15,14,7,0,1,7,14,15,9,2,0,5,13,15,11,3,0,3,11,15,5
0,5,12,15,11,3,0,3,11,15,13,6,0,1,8,15,14,8,1,0,6,13,15,10,2,0,4,12,15,12,4,0,2,10,15,14,7,0,1,7,14,15,9,2,0,5,13,15,11,3,0,3,11,15,13,5,0,1,8,15,14,8,1,0,6
13,6,0,1,8,15,14,8,1,0,6,13,15,10,2,0,4,12,15,12,4,0,2,10,15,14,7,0,1,7,14,15,9,2,0,5,13,15,11,3,0,3,11,15,13,5,0,1,8,15,14,8,1,0,6,13,15,10,2,0,4,12,15,12,7
6,13,15,10,2,0,4,12,15,12,4,0,2,10,15,14,7,0,1,7,14,15,9,2,0,5,13,15,11,3,0,3,11,15,13,5,0,1,8,15,14,8,1,0,6,13,15,10,2,0,4,12,15,12,4,0,2,10,15,14,6,0,1,7,8
